Ligand 1;Ligand 2;Ligand 3;Ligand 4;Receptor 1;Receptor 2;Receptor 3;Receptor 4;Receptor 5;Alias;Family;Subfamily;Other family;Reference
EFNA4;;;;EPHA8;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNA5;;;;EPHA8;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB1;;;;EPHB1;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB2;;;;EPHB1;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB3;;;;EPHB1;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNA5;;;;EPHB2;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB1;;;;EPHB2;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB2;;;;EPHB2;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB3;;;;EPHB2;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB1;;;;EPHB3;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB2;;;;EPHB3;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB3;;;;EPHB3;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EPO;;;;EPHB4;;;;;;Growth factor;Ephrins;;26481148
EFNB1;;;;EPHB4;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB2;;;;EPHB4;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB3;;;;EPHB4;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB1;;;;EPHB6;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB2;;;;EPHB6;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EFNB3;;;;EPHB6;;;;;;Growth factor;Ephrins;;"15114347; 24003208"
EPO;;;;EPOR;;;;;;Cytokine;type 1;;"9974393; 2163696"
TGFA;;;;ERBB2;;;;;;Growth factor;EGFR family;;10918572
HBEGF;;;;ERBB2;;;;;;Growth factor;EGFR family;;12621152
EFNB1;;;;ERBB2;;;;;;Growth factor;EGFR family;;22279592
NRG2;;;;ERBB3;;;;;;Growth factor;Neuregulin;;9168115
NRG1;;;;ERBB3;;;;;;Growth factor;Neuregulin;;10214951
EGF;;;;ERBB3;;;;;;Growth factor;EGFR family;;12093292
L1CAM;;;;ERBB3;;;;;;Growth factor;EGFR family;;22815787
BTC;;;;ERBB3;;;;;;Growth factor;EGFR family;;30249613
BTC;;;;ERBB4;;;;;;Growth factor;EGFR family;;8570211
NRG2;;;;ERBB4;;;;;;Growth factor;Neuregulin;;9168115
NRG3;;;;ERBB4;;;;;;Growth factor;Neuregulin;;9275162
EREG;;;;ERBB4;;;;;;Growth factor;EGFR family;;9419975
NRG4;;;;ERBB4;;;;;;Growth factor;Neuregulin;;10348342
TGFA;;;;ERBB4;;;;;;Growth factor;EGFR family;;10918572
DCN;;;;ERBB4;;;;;;Growth factor;EGFR family;;10942781
HBEGF;;;;ERBB4;;;;;;Growth factor;EGFR family;;12621152
L1CAM;;;;ERBB4;;;;;;Growth factor;EGFR family;;22815787
NRG1;;;;ERBB4;;;;;;Growth factor;Neuregulin;;"10537356; 10214951"
ESAM;;;;ESAM;;;;;;Cell adhesion;;;11279107
F11R;;;;F11R;;;;;;Cell adhesion;;;35922511
FASLG;;;;FAS;;;;;TNFSF6 = FasL;Cytokine;TNF;;11239407
NCAM1;;;;FGFR1;;;;;;Growth factor;FGF family;;18593816
FGF1;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF10;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF16;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF17;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF18;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF19;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF2;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF20;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF21;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF23;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF3;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF4;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF5;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF6;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF8;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF9;;;;FGFR1;;;;;;Growth factor;FGF family;;25772309
FGF1;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF10;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF16;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF17;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF18;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF19;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF2;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF20;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF22;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF3;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF4;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF5;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF6;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF7;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF8;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FGF9;;;;FGFR2;;;;;;Growth factor;FGF family;;25772309
FCER2;;;;FGFR2;;;;;;Growth factor;;;35922511
BGN;;;;FGFR3;;;;;;Growth factor;FGF family;;25260943
FGF1;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF16;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF17;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF18;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF19;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF2;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF20;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF21;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF23;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF4;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF5;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF6;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF8;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
FGF9;;;;FGFR3;;;;;;Growth factor;FGF family;;25772309
IL1RAPL2;;;;FGFR3;;;;;;Growth factor;FGF family;;32822567
FGF1;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF16;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF17;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF18;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF19;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF2;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF20;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF23;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF4;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF5;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF6;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF8;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
FGF9;;;;FGFR4;;;;;;Growth factor;FGF family;;25772309
SDC2;;;;FGFR4;;;;;;Growth factor;FGF family;;35922511
TGFBR3;;;;FGFR4;;;;;;Growth factor;FGF family;;35922511
FGF22;;;;FGFRL1;;;;;;Growth factor;FGF family;;19920134
FGF8;;;;FGFRL1;;;;;;Growth factor;FGF family;;19920134
FGF3;;;;FGFRL1;;;;;;Growth factor;FGF family;;19920134
FGF4;;;;FGFRL1;;;;;;Growth factor;FGF family;;19920134
PGF;;;;FLT1;;;;;PGF = PIGF;Growth factor;VEGF family;;19029957
VEGFA;;;;FLT1;;;;;FLT1=VEGFR1;Growth factor;VEGF family;;26285753
VEGFB;;;;FLT1;;;;;;Growth factor;VEGF family;;"11181169 ; 26285753"
FLT3LG;;;;FLT3;;;;;;Cytokine;RTK;;21389326
VEGFC;;;;FLT4;;;;;FLT4=VEGFR3;Growth factor;VEGF family;;"16336962 ; 11532940"
VEGFD;;;;FLT4;;;;;;Growth factor;VEGF family;;"16336962 ; 11532940"
ANXA1;;;;FPR1;;;;;;;;;10882119,10882119, 12560218,10882119,
CCL23;;;;FPR2;;;;;;Chemokine;CC;;22633458
APP;;;;FPR2;;;;;;;;;11160457
ANXA1;;;;FPR2;;;;;;;;;12368905, 10882119, 12560218, 16278303,
SAA1;;;;FPR2;;;;;;;;;"26130702 ; 9892621"
ANXA1;;;;FPR3;;;;;;;;;15187149
SPX;;;;GALR2;;;;;;;Hormone;;30305242, 24517231,
GAL;;;;GALR2;;;;;;;;;"9685625;9880084"
SPX;;;;GALR3;;;;;;;Hormone;;30305242, 24517231,
GDF15;;;;GFRAL;;;;;;Cytokine;TGF;;"28846097; 28953886"
GH1;;;;GHR;;;;;;Cytokine;type 1;;2387255
GH2;;;;GHR;;;;;;Cytokine;type 1;;2387255
RARRES2;;;;GPR1;;;;;;;;;18165312
PSAP;;;;GPR37;;;;;;;;;23690594
PSAP;;;;GPR37L1;;;;;;;;;23690594
CCL5;;;;GPR75;;;;;;;;;29772059
NMB;;;;GRPR;;;;;;;;;1655761
GRP;;;;GRPR;;;;;;;;;"7838118; 19463875"
GUCA2A;;;;GUCY2C;;;;;;;;;23269669
HAVCR1;;;;HAVCR1;;;;;;;;;17363299
LGALS9;;;;HAVCR2;;;;;HAVCR2= Tim-3=TIM3;Checkpoint;TIM;;"16286920 ; 27192565"
HMGB1;;;;HAVCR2;;;;;;Checkpoint;TIM;;"22842346; 27192565"
CEACAM1;;;;HAVCR2;;;;;;Checkpoint;TIM;;"25363763; 27192565"
CCL16;;;;HRH4;;;;;;Chemokine;CC;;15265943
CLEC4M;;;;ICAM3;;;;;CLEC4M=L-SIGN;Cell adhesion;;;11257134
CD209;;;;ICAM3;;;;;CD209=DC-SIGN=CLEC4L;Cell adhesion;;;"11257134; 10721994"
ICOSLG;;;;ICOS;;;;;ICOSL=B7-H2;Checkpoint;B7;;"14599850 ; 23954143"
CD93;;;;IFNGR1;;;;;;Cytokine;type 2;;35922511
ICAM5;;;;IGDCC3;;;;;;Cell adhesion;;;32822567
IGFBP7;;;;IGDCC3;;;;;;Growth factor;;;32822567
IGFBPL1;;;;IGDCC3;;;;;IGDCC3 = PUNC;Growth factor;;;32822567
LTF;;;;IGDCC3;;;;;;;;;32822567
WFIKKN2;;;;IGDCC3;;;;;;;;;32822567
ICAM5;;;;IGDCC4;;;;;;Cell adhesion;;;32822567
IGFBP7;;;;IGDCC4;;;;;;Growth factor;;;32822567
IGFBPL1;;;;IGDCC4;;;;;IGDCC4 = PUNCe11;Growth factor;;;32822567
LTF;;;;IGDCC4;;;;;;;;;32822567
WFIKKN2;;;;IGDCC4;;;;;;;;;32822567
INS;;;;IGF1R;;;;;;Growth factor;;;1851182
IGF2;;;;IGF1R;;;;;;Growth factor;;;9972281
IGF1;;;;IGF1R;;;;;;Growth factor;;;"2877871; 1852007"
GZMB;;;;IGF2R;;;;;;Growth factor;;;11081635
IGF2;;;;IGF2R;;;;;;Growth factor;;;"2964083;7797478"
IL13;;;;IL13RA2;;;;;;Cytokine;type 1;;8663118
IL17B;;;;IL17RB;;;;;;Cytokine;IL17 family;;24011563
IL25;;;;IL17RB;;;;;IL17E = IL25;Cytokine;IL17 family;;24011563
IL1RN;;;;IL1R1;;;;;;Cytokine;IL1 family;;"20959797; 24332029"
IL1RN;;;;IL1R2;;;;;;Cytokine;IL1 family;;"20959797; 24332029"
IL1F10;;;;IL1RAPL1;;;;;IL1F10 = IL38, IL1RAPL1=TIGIRR-2;Cytokine;IL1 family;;22315422 ,  31387327
IL1F10;;;;IL1RAPL2;;;;;TIGIRR1;Cytokine;IL1 family;;22315422 ,  31387327
IL36RN;;;;IL1RL2;;;;;IL1RL2=IL36R;Cytokine;IL1 family;;"20959797; 24332029"
IL1F10;;;;IL1RL2;;;;;;Cytokine;IL1 family;;22315422 ,  31387327
IL22;;;;IL22RA2;;;;;;Cytokine;type 2;;15032600
ICAM5;;;;IL6R;;;;;;Cytokine;;;32822567
IGFBP7;;;;IL6R;;;;;;Cytokine;;;32822567
IGFBPL1;;;;IL6R;;;;;;Cytokine;;;32822567
LTF;;;;IL6R;;;;;;Cytokine;;;32822567
WFIKKN2;;;;IL6R;;;;;;Cytokine;;;32822567
CD248;;;;IL6R;;;;;;Cytokine;;;35922511
CD1B;;;;IL6ST;;;;;;Cytokine;;;35922511
INS;;;;INSR;;;;;;Growth factor;Insulin family;;24633815
ICAM5;;;;ISLR2;;;;;;Cell adhesion;;;32822567
IGFBP7;;;;ISLR2;;;;;;Growth factor;Insulin family;;32822567
IGFBPL1;;;;ISLR2;;;;;;Growth factor;Insulin family;;32822567
LEP;;;;ISLR2;;;;;;Growth factor;Insulin family;;32822567
LTF;;;;ISLR2;;;;;;Growth factor;Insulin family;;32822567
WFIKKN2;;;;ISLR2;;;;;;Growth factor;Insulin family;;32822567
CALR;;;;ITGA3;;;;;;Cell adhesion;;;8006073, 11327697,
IL32;;;;ITGB3;;;;;;Cell adhesion;;;30391782
F11R;;;;JAM2;;;;;;Cell adhesion;;;25119047
JAM2;;;;JAM2;;;;;;Cell adhesion;;;35922511
JAM2;;;;JAM3;;;;;;Cell adhesion;;;16093349
JAM3;;;;JAM3;;;;;;Cell adhesion;;;16118203
VEGFC;;;;KDR;;;;;KDR=VEGFR2;Growth factor;VEGF family;;11181169
TIMP3;;;;KDR;;;;;;Growth factor;VEGF family;;12652295
VEGFD;;;;KDR;;;;;"KDR=VEGFR2 ; VEGFD=FIGF";Growth factor;VEGF family;;16835467
DCN;;;;KDR;;;;;;Growth factor;VEGF family;;21659473
BSG;;;;KDR;;;;;BSG= EMMPRIN = CD147;Growth factor;VEGF family;;25825981
VEGFA;;;;KDR;;;;;KDR=FLK1=VEGFR2;Growth factor;VEGF family;;"11181169 ; 1417831"
GREM1;;;;KDR;;;;;;Growth factor;VEGF family;;"25810250; 20660291"
HLA-C;;;;KIR2DL1;;;;;;Checkpoint;KIR;HLA recognition;"11955593;15580655"
HLA-C;;;;KIR2DL2;;;;;;Checkpoint;KIR;HLA recognition;"11955593;15580655"
HLA-C;;;;KIR2DL3;;;;;;Checkpoint;KIR;HLA recognition;"11955593;15580655"
HLA-G;;;;KIR2DL4;;;;;;Checkpoint;KIR;HLA recognition;"17056715; 11955593;15580655"
TAFA2;;;;KIR2DL5A;;;;;;HLA recognition;KIR;;36178190
PVR;;;;KIR2DL5A;;;;;;HLA recognition;KIR;;"32822567; 35922511"
PVR;;;;KIR2DL5B;;;;;;HLA recognition;KIR;;32822567
HLA-C;;;;KIR2DS1;;;;;;HLA recognition;KIR;;28546555
HLA-A;;;;KIR2DS2;;;;;;HLA recognition;KIR;;24550293
HLA-C;;;;KIR2DS2;;;;;;HLA recognition;KIR;;28916719
HLA-A;;;;KIR2DS4;;;;;;HLA recognition;KIR;;19858347
HLA-C;;;;KIR2DS4;;;;;;HLA recognition;KIR;;"31138701; 27455421"
HLA-F;;;;KIR3DL1;;;;;;Checkpoint;KIR;;27455421
HLA-B;;;;KIR3DL1;;;;;;Checkpoint;KIR;HLA recognition;"11955593;15580655"
HLA-A;;;;KIR3DL1;;;;;;Checkpoint;KIR;HLA recognition;25480565
TAFA2;;;;KIR3DL1;;;;;;HLA recognition;KIR;;36178190
HLA-B;;;;KIR3DL2;;;;;;Checkpoint;KIR;;23440420
HLA-F;;;;KIR3DL2;;;;;;Checkpoint;KIR;;27455421
HLA-A;;;;KIR3DL2;;;;;;Checkpoint;KIR;;25480565
TAFA2;;;;KIR3DL2;;;;;;HLA recognition;KIR;;36178190
HHLA2;;;;KIR3DL3;;;;;;Checkpoint;B7;;33536266
TAFA2;;;;KIR3DL3;;;;;;Checkpoint;KIR;;36178190
HLA-F;;;;KIR3DS1;;;;;;HLA recognition;KIR;;27455421
HLA-B;;;;KIR3DS1;;;;;;HLA recognition;KIR;;28603523
KISS1;;;;KISS1R;;;;;;;;;12944565
KITLG;;;;KIT;;;;;KITLG= SCF = stem cell factor;Cytokine;RTK;;17662946
CLEC2D;;;;KLRB1;;;;;;;;;24223577
CLEC2B;;;;KLRF1;;;;;;;;;17057721
CLEC2A;;;;KLRF2;;;;;;;;;24223577
CDH1;;;;KLRG1;;;;;CDH1=E-Cadherin = Cadherin 1;Cell adhesion;;;16904340
L1CAM;;;;L1CAM;;;;;CD171=L1CAM;Cell adhesion;;;18701456
CHL1;;;;L1CAM;;;;;;Cell adhesion;;;35922511
CLEC4G;;;;LAG3;;;;;CLEC4G=LSECTIN;Checkpoint;Lag3;HLA recognition;24769443
LGALS3;;;;LAG3;;;;;;Checkpoint;Lag3;;25691328
FGL1;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;30580966
HLA-DPA1;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DPA2;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DPA3;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DPB1;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DPB2;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DQA1;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DQA2;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DQB1;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DQB2;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DQB3;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRA;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB1;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB2;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB3;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB4;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB5;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB6;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB7;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB8;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
HLA-DRB9;;;;LAG3;;;;;;Checkpoint;Lag3;HLA recognition;"26927206; 22437870"
SFTPD;;;;LAIR1;;;;;;;;;24585933
LAIR1;;;;LAIR1;;;;;;;;;35922511
LRPAP1;;;;LDLR;;;;;;;;;7822276
APOB;;;;LDLR;;;;;;;;;24447298
APOE;;;;LDLR;;;;;;;;;24447298
LEP;;;;LEPR;;;;;;Cytokine;type 1;;9463481
LGALS1;;;;LGALS1;;;;;;;;;"20696842;21427408"
RSPO1;;;;LGR4;;;;;;Wnt pathway;;;21693646
RSPO2;;;;LGR4;;;;;;Wnt pathway;;;21693646
RSPO3;;;;LGR4;;;;;;Wnt pathway;;;21693646
RSPO4;;;;LGR4;;;;;;Wnt pathway;;;21693646
RSPO1;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO2;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO3;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO4;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO1;;;;LGR6;;;;;;Wnt pathway;;;21727895
RSPO2;;;;LGR6;;;;;;Wnt pathway;;;21727895
RSPO3;;;;LGR6;;;;;;Wnt pathway;;;21727895
RSPO4;;;;LGR6;;;;;;Wnt pathway;;;21727895
FAM3C;;;;LIFR;;;;;;Cytokine;type 1;;30692635
BST2;;;;LILRA4;;;;;;;;;19564354
HLA-F;;;;LILRB1;;;;;;HLA recognition;;;"11169396; 9285411; 9382880"
HLA-G;;;;LILRB1;;;;;LILRB1=ILT2;HLA recognition;;Checkpoint;"17056715;19841038"
HLA-A;;;;LILRB1;;;;;;HLA recognition;;;"9285411; 9382880"
HLA-B;;;;LILRB1;;;;;;HLA recognition;;;"9285411; 9382880"
HLA-C;;;;LILRB1;;;;;;HLA recognition;;;"9285411; 9382880"
HLA-G;;;;LILRB2;;;;;LILRB2=ILT4;HLA recognition;;Checkpoint;17056715
CD1D;;;;LILRB2;;;;;;HLA recognition;;;19124746
